Generacion,GenomaID,Fitness,Nodos,Conexiones,EspecieID
0,6,105,8,56448,1
0,45,80,8,56448,1
1,6,105,8,56448,1
1,45,80,8,56448,1
2,6,105,8,56448,1
2,214,85,9,56450,1
3,6,105,8,56448,1
3,214,85,9,56450,1
4,6,105,8,56448,1
4,424,100,8,56448,1
5,6,105,8,56448,1
5,424,100,8,56448,1
6,6,105,8,56448,1
6,650,105,8,56448,1
7,738,141,8,56448,1
7,756,120,8,56448,1
8,738,141,8,56448,1
8,756,120,8,56448,1
9,738,141,8,56448,1
9,756,120,8,56448,1
0,738,141.0,8,56448,1
0,756,120.0,8,56448,1
0,756,120.0,8,56448,1
1,30,105.0,9,56449,2
1,10,100.0,9,56449,2
1,756,120.0,8,56448,1
1,72,120.0,8,56448,1
2,30,105.0,9,56449,2
2,136,105.0,10,56451,2
2,756,120.0,8,56448,1
2,72,120.0,8,56448,1
3,213,120.0,9,56449,2
3,230,120.0,10,56448,2
3,756,120.0,8,56448,1
3,72,120.0,8,56448,1
4,213,120.0,9,56449,2
4,230,120.0,10,56448,2
4,756,120.0,8,56448,1
4,72,120.0,8,56448,1
5,213,120.0,9,56449,2
5,230,120.0,10,56448,2
5,756,120.0,8,56448,1
5,72,120.0,8,56448,1
6,213,120.0,9,56449,2
6,230,120.0,10,56448,2
6,756,120.0,8,56448,1
6,72,120.0,8,56448,1
7,213,120.0,9,56449,2
7,583,120.0,9,56449,2
7,72,120.0,8,56448,2
8,213,120.0,9,56449,2
8,583,120.0,9,56449,2
8,756,120.0,8,56448,1
8,690,100.0,9,56450,2
9,213,120.0,9,56449,2
9,583,120.0,9,56449,2
9,756,120.0,8,56448,1
9,832,100.0,10,56450,1
