Gen,Prom_fit,Prom_positive_fit,Prom_negative_fit
396,-502.05,1058.78125,-1236.5588235294117
397,-540.0824742268042,1039.3529411764705,-1392.4761904761904
398,-268.98,961.2631578947369,-1023.0
399,-753.39,640.304347826087,-1169.6883116883116
400,-747.8,767.5,-1126.625
401,-297.27,740.081081081081,-906.5079365079365
402,-119.65,790.2631578947369,-677.3387096774194
403,-290.55,868.9090909090909,-861.6268656716418
404,-471.23,548.8857142857142,-1020.5230769230769
405,-341.16,617.8055555555555,-880.578125
406,-301.81,730.8780487804878,-1019.4406779661017
407,-395.38,618.5,-872.5
408,-156.38,617.2244897959183,-899.6470588235294
409,-279.77,642.0540540540541,-821.1587301587301
410,-307.03,629.9,-931.65
411,-381.75,671.939393939394,-900.7313432835821
412,-32.71,968.6666666666666,-595.984375
413,-159.61,903.6666666666666,-839.4098360655738
414,-158.23,820.6153846153846,-784.0491803278688
415,-292.35,792.2285714285714,-876.3538461538461
416,-302.46,538.5853658536586,-886.9152542372881
417,-120.2,762.7692307692307,-684.7213114754098
418,-610.86,497.75757575757575,-1156.8955223880596
419,-58.52,712.2093023255813,-639.9473684210526
420,-138.05,657.1351351351351,-605.063492063492
421,-80.5,830.35,-687.7333333333333
422,-172.16,731.1951219512196,-799.9152542372881
423,-244.07,751.5666666666667,-670.7714285714286
424,-422.95,648.1923076923077,-799.2972972972973
425,-230.17,651.6153846153846,-793.9344262295082
426,-208.28,734.3214285714286,-574.8472222222222
427,-127.1,810.4634146341464,-778.6271186440678
428,-297.53,718.6129032258065,-754.0579710144928
429,-66.33,748.3255813953489,-680.8947368421053
430,-38.97,1311.9166666666667,-798.84375
431,-460.96,639.2058823529412,-1027.7121212121212
432,-230.05,674.8571428571429,-885.3275862068965
433,-204.08,893.0285714285715,-794.8307692307692
434,-216.63,610.7714285714286,-662.1538461538462
435,-311.69,690.0,-783.0735294117648
436,37.79,693.3137254901961,-644.4897959183673
437,-320.16,694.2571428571429,-866.3846153846154
438,-247.47,708.8709677419355,-677.1304347826087
439,-203.63,612.390243902439,-770.6949152542373
440,-192.18,660.2777777777778,-671.6875
441,-157.89,918.7435897435897,-846.2295081967213
442,-293.37,852.7407407407408,-717.2739726027397
443,-389.6,710.0357142857143,-817.2361111111111
444,-240.95,608.5238095238095,-856.0862068965517
445,-226.7,816.3055555555555,-813.390625
446,-426.11,633.3333333333334,-1022.046875
447,-250.72,551.75,-702.109375
448,-114.07,664.9375,-833.1538461538462
449,-197.88,764.8461538461538,-813.3934426229508
450,-301.26,756.1538461538462,-672.7837837837837
451,-298.49,792.28125,-811.7941176470588
452,-319.88,847.4230769230769,-730.0135135135135
453,-500.45,778.4782608695652,-882.4675324675325
454,-318.32,929.7272727272727,-933.0298507462686
455,-312.3,840.5625,-854.8235294117648
456,-131.69,774.5263157894736,-687.1129032258065
457,-401.04,574.3666666666667,-819.0714285714286
458,-158.51,974.974358974359,-883.1967213114754
459,-286.7,744.6470588235294,-818.0
460,-176.19,801.6666666666666,-884.2931034482758
461,-183.88,733.7906976744187,-876.1578947368421
462,-378.23,810.2972972972973,-1076.2539682539682
463,-322.05,936.3793103448276,-836.056338028169
464,-378.57,930.9428571428572,-1083.6923076923076
465,-300.98,805.4736842105264,-979.1290322580645
466,-463.15,813.71875,-1064.0294117647059
467,-244.85,738.6666666666666,-798.078125
468,-478.82,933.8484848484849,-1174.6119402985075
469,-579.8,795.6,-1038.2666666666667
470,-353.17,819.6666666666666,-1103.016393442623
471,-630.68,574.6896551724138,-1123.0140845070423
472,-175.22,695.9130434782609,-917.2962962962963
473,-221.78,723.775,-852.15
474,-264.52,663.5135135135135,-809.5555555555555
475,-272.08,711.0540540540541,-849.4761904761905
476,-402.32,714.1290322580645,-903.9130434782609
477,-293.46,694.1515151515151,-779.8955223880597
478,-131.38,870.8461538461538,-772.1475409836065
479,-411.04,764.9354838709677,-939.3768115942029
480,-149.73,712.4242424242424,-574.3731343283582
481,-91.53,579.046511627907,-597.4035087719299
482,-570.04,778.9090909090909,-1234.44776119403
483,-189.54,706.3414634146342,-812.1016949152543
484,-451.64,750.7333333333333,-980.9565217391304
485,-77.96,818.4473684210526,-637.655737704918
486,-194.46,559.2105263157895,-656.3870967741935
487,-128.39,708.8684210526316,-641.5483870967741
488,-384.62,601.5588235294117,-892.6515151515151
489,-168.12,594.0526315789474,-635.258064516129
490,-129.63,898.0882352941177,-659.060606060606
491,-436.59,710.9130434782609,-779.3506493506494
492,-207.65,681.7222222222222,-707.921875
493,-75.0,707.425,-596.6166666666667
494,-395.08,704.7575757575758,-936.7910447761194
495,-191.11,670.2,-765.3166666666667
