Gen,Prom_fit,Prom_positive_fit,Prom_negative_fit
0,515.25,532.9072164948453,-55.666666666666664
1,843.85,922.7173913043479,-63.125
2,853.13,881.6082474226804,-67.66666666666667
3,1000.41,1021.734693877551,-44.5
4,1165.36,1203.0,-51.666666666666664
5,1259.83,1259.83,0
6,1374.63,1403.3673469387754,-33.5
7,1537.24,1553.171717171717,-40.0
8,1669.35,1669.35,0
9,1469.53,1485.2424242424242,-86.0
10,1478.98,1478.98,0
11,1496.5,1496.5,0
12,1516.86,1516.86,0
13,1562.1,1562.1,0
14,1570.39,1587.1010101010102,-84.0
15,1609.93,1609.93,0
16,1561.57,1561.57,0
17,1467.93,1467.93,0
18,1519.89,1519.89,0
19,1478.16,1478.16,0
20,1577.32,1593.7171717171718,-46.0
21,1576.42,1576.42,0
22,1533.65,1533.65,0
23,1492.62,1492.62,0
24,1520.55,1536.20202020202,-29.0
25,1351.01,1364.7575757575758,-10.0
26,1493.87,1493.87,0
27,1421.85,1451.6326530612246,-37.5
28,1678.86,1696.3535353535353,-53.0
29,1576.4,1592.7676767676767,-44.0
30,1530.58,1530.58,0
31,1389.16,1433.5051546391753,-44.666666666666664
32,1491.91,1507.7777777777778,-79.0
33,1657.59,1657.59,0
34,1473.66,1473.66,0
35,1618.44,1618.44,0
36,1457.55,1457.55,0
37,1666.36,1666.36,0
38,1412.17,1412.17,0
39,1696.79,1696.79,0
40,1602.87,1602.87,0
41,1480.51,1480.51,0
42,1461.14,1476.0707070707072,-17.0
43,1623.83,1640.5959595959596,-36.0
44,1453.38,1516.2916666666667,-56.5
45,1601.65,1601.65,0
46,1633.33,1633.33,0
47,1424.98,1424.98,0
48,1581.45,1581.45,0
49,1608.88,1660.1855670103093,-50.0
50,1629.68,1629.68,0
51,1557.03,1557.03,0
52,1536.24,1536.24,0
53,1546.07,1546.07,0
54,1450.37,1465.5656565656566,-54.0
55,1280.87,1294.1313131313132,-32.0
56,1472.0,1472.0,0
57,1470.71,1501.3877551020407,-32.5
58,1555.68,1555.68,0
59,1483.19,1483.19,0
60,1415.09,1415.09,0
61,1222.19,1248.1938775510205,-52.0
62,1395.98,1395.98,0
63,1373.49,1373.49,0
64,1494.74,1494.74,0
65,1424.19,1424.19,0
66,1562.72,1562.72,0
67,1421.58,1437.0,-105.0
68,1558.48,1558.48,0
69,1487.88,1487.88,0
70,1397.37,1397.37,0
71,1313.52,1327.6868686868686,-89.0
72,1264.91,1278.5252525252524,-83.0
73,1353.14,1353.14,0
74,1491.28,1491.28,0
75,1482.4158415841584,1498.12,-88.0
76,1454.6930693069307,1485.5151515151515,-71.0
77,1286.78,1300.020202020202,-24.0
78,1421.71,1436.0707070707072,0
79,1493.06,1508.8080808080808,-66.0
80,1495.12,1495.12,0
81,1409.33,1409.33,0
82,1275.12,1275.12,0
83,1321.14,1321.14,0
84,1468.26,1468.26,0
85,1378.71,1392.6969696969697,-6.0
86,1421.7,1421.7,0
87,1365.66,1380.3434343434344,-88.0
88,1564.64,1564.64,0
89,1443.31,1443.31,0
90,1383.64,1383.64,0
91,1354.2,1354.2,0
92,1447.26,1447.26,0
93,1382.58,1397.4545454545455,-90.0
94,1429.54,1429.54,0
95,1365.21,1365.21,0
96,1303.18,1303.18,0
97,1462.81,1478.3939393939395,-80.0
98,1393.32,1407.878787878788,-48.0
99,1412.38,1412.38,0
100,1477.04,1477.04,0
101,1461.85,1461.85,0
102,1458.88,1474.5353535353536,-91.0
103,1421.77,1436.2929292929293,-16.0
104,1563.75,1563.75,0
105,1437.41,1452.1313131313132,-20.0
106,1310.26,1310.26,0
107,1288.02,1301.4141414141413,-38.0
108,1519.77,1519.77,0
109,1431.61,1461.1938775510205,-18.0
110,1228.2,1228.2,0
111,1254.77,1254.77,0
112,1507.4,1507.4,0
113,1623.65,1623.65,0
114,1405.3,1405.3,0
115,1437.14,1452.3333333333333,-67.0
116,1432.36,1447.8181818181818,-98.0
117,1435.57,1465.7244897959183,-42.0
118,1509.25,1509.25,0
119,1526.36,1526.36,0
120,1497.38,1513.1010101010102,-59.0
121,1501.22,1501.22,0
122,1479.11,1494.8383838383838,-78.0
123,1486.6,1486.6,0
124,1300.28,1327.3877551020407,-28.0
125,1451.23,1451.23,0
126,1517.42,1517.42,0
127,1615.72,1666.2164948453608,-17.0
128,1461.96,1477.060606060606,-33.0
129,1480.45,1480.45,0
130,1636.67,1653.3939393939395,-19.0
131,1386.5,1415.0204081632653,-11.0
132,1531.47,1547.050505050505,-11.0
133,1534.51,1550.8989898989898,-88.0
134,1505.02,1521.121212121212,-89.0
135,1437.27,1468.4795918367347,-92.0
136,1284.2,1311.9591836734694,-76.0
137,1454.69,1454.69,0
138,1448.09,1463.3636363636363,-64.0
139,1532.8,1532.8,0
140,1474.68,1474.68,0
141,1449.5,1449.5,0
142,1324.83,1324.83,0
143,1445.03,1445.03,0
144,1178.47,1190.6565656565656,-28.0
145,1367.48,1367.48,0
146,1350.57,1364.8181818181818,-60.0
147,1412.21,1412.21,0
148,1343.48,1343.48,0
149,1503.28,1503.28,0
