NumGen,Prom_damage
0,13.64
1,18.52
2,17.06
3,24.72
4,23.27
5,18.13
6,17.08
7,13.53
8,26.5
9,16.72
10,17.79
11,13.8
12,17.9
13,15.03
14,10.98
15,20.42
16,24.53
17,18.56
18,20.13
19,18.85
20,22.23
21,30.81
22,29.06
23,48.59
24,36.77
25,35.15
26,36.06
27,42.18
28,35.45
29,36.88
30,39.75
31,35.02
32,36.18
33,37.49
34,38.81
35,40.5
36,32.64
37,34.85
38,38.26
39,32.73
40,39.73
41,42.38
42,41.12
43,37.99
44,38.61
45,40.92
46,43.87
47,47.7
48,41.76
49,43.41
50,37.95
51,45.35
52,40.35
53,44.47
54,39.04
55,32.4
56,41.89
57,37.04
58,39.19
59,36.71
60,33.2
61,37.24
62,31.75
63,27.8
64,33.15
65,31.69
66,22.67
67,29.41
68,30.34
69,29.43
70,37.15
71,30.94
72,34.0
73,36.71
74,32.06
75,33.148514851485146
76,36.336633663366335
77,29.48
78,27.55
79,35.61
80,34.36
81,36.63
82,31.38
83,28.49
84,31.8
85,34.11
86,34.52
87,43.2
88,42.7
89,39.98
90,35.26
91,40.12
92,37.3
93,34.94
94,34.35
95,39.72
96,36.25
97,39.18
98,31.62
99,33.77
100,27.24
101,30.75
102,25.28
103,36.91
104,35.69
105,41.82
106,32.89
107,27.8
108,39.11
109,32.11
110,38.51
111,31.45
112,31.66
113,31.14
114,35.74
115,38.28
116,36.32
117,41.2
118,43.26
119,39.24
120,34.39
121,35.6
122,34.66
123,39.6
124,36.07
125,33.18
126,29.41
127,29.65
128,33.16
129,36.31
130,34.24
131,32.09
132,33.03
133,35.16
134,37.58
135,31.2
136,33.51
137,28.92
138,37.58
139,33.11
140,38.04
141,39.41
142,33.99
143,39.59
144,37.57
145,36.52
146,35.06
147,38.31
148,34.92
149,24.49
